Ref.,Limits of Potential Window (V),Lower Limit of Potential Window (V),Upper Limit of Potential Window (V),Potential Window (V),Current Density (A/g),Capacitance (F/g),Specific Surface Area (m^2/g),Charge Transfer Resistance (Rct) (ohm),Equivalent Series Resistance (Rs) (ohm),Electrode Configuration,Pore Size (nm),Pore Volume (cm^3/g),Ratio of ID/IG,N at%,C at%,O at%,Electrolyte Chemical Formula,Electrolyte Ionic Conductivity,Electrolyte Concentration (M),Cell Configuration (three/two electrode system)
DOI: 10.1007/s11581-019-03331-8,0 to 0.4,0,0.4,0.4,0.5,842,309.98,,,CoS2/GO-0.5,,0.216,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s11581-019-03331-8,0 to 0.4,0,0.4,0.4,10,649,309.98,,,CoS2/GO-0.5,,0.216,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s11581-019-03331-8,0 to 0.4,0,0.4,0.4,0.5,665,214.82,,,CoS2/GO-0.75,,0.1678,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s11581-017-2409-y,-0.6 to 0.1,-0.6,0.1,0.7,1,335,,,,Fe3O4 NPs/FEG/carbon paper,,,,,,,Na2SO3,5,1,three-electrode system
DOI: 10.1007/s11581-017-2409-y,-0.6 to 0.1,-0.6,0.1,0.7,1.25,301.79,,,,Fe3O4 NPs/FEG/carbon paper,,,,,,,Na2SO3,5,1,three-electrode system
DOI: 10.1007/s11581-017-2409-y,-0.6 to 0.1,-0.6,0.1,0.7,2.5,225,,,,Fe3O4 NPs/FEG/carbon paper,,,,,,,Na2SO3,5,1,three-electrode system
DOI: 10.1007/s11581-017-2409-y,-0.6 to 0.1,-0.6,0.1,0.7,5,142.85,,,,Fe3O4 NPs/FEG/carbon paper,,,,,,,Na2SO3,5,1,three-electrode system
DOI: 10.1007/s11581-017-2409-y,-0.6 to 0.1,-0.6,0.1,0.7,6.25,125,,,,Fe3O4 NPs/FEG/carbon paper,,,,,,,Na2SO3,5,1,three-electrode system
DOI: 10.1007/s11581-017-2409-y,-0.6 to 0.1,-0.6,0.1,0.7,1,470,,,,Fe3O4 NPs/FFEG/carbon paper,,,,,,,Na2SO3,5,1,three-electrode system
DOI: 10.1007/s11581-017-2409-y,-0.6 to 0.1,-0.6,0.1,0.7,1.25,394.64,,,,Fe3O4 NPs/FFEG/carbon paper,,,,,,,Na2SO3,5,1,three-electrode system
DOI: 10.1007/s11581-017-2409-y,-0.6 to 0.1,-0.6,0.1,0.7,2.5,299.64,,,,Fe3O4 NPs/FFEG/carbon paper,,,,,,,Na2SO3,5,1,three-electrode system
DOI: 10.1007/s11581-017-2409-y,-0.6 to 0.1,-0.6,0.1,0.7,5,264.29,,,,Fe3O4 NPs/FFEG/carbon paper,,,,,,,Na2SO3,5,1,three-electrode system
DOI: 10.1007/s11581-017-2409-y,-0.6 to 0.1,-0.6,0.1,0.7,6.25,246.43,,,,Fe3O4 NPs/FFEG/carbon paper,,,,,,,Na2SO3,5,1,three-electrode system
DOI: 10.1007/s42823-019-00108-x,0 to 0.8,0,0.8,0.8,0.25,266.8,74,,,rGO10/PPy,,,,,,,Na2SO4,3,1,two-electrode system
DOI: 10.1007/s42823-019-00108-x,0 to 0.8,0,0.8,0.8,0.5,260.5,74,,,rGO10/PPy,,,,,,,Na2SO4,3,1,two-electrode system
DOI: 10.1007/s42823-019-00108-x,0 to 0.8,0,0.8,0.8,1,249,74,,,rGO10/PPy,,,,,,,Na2SO4,3,1,two-electrode system
DOI: 10.1007/s42823-019-00108-x,0 to 0.8,0,0.8,0.8,1.5,240.9,74,,,rGO10/PPy,,,,,,,Na2SO4,3,1,two-electrode system
DOI: 10.1007/s42823-019-00108-x,0 to 0.8,0,0.8,0.8,2,232.1,74,,,rGO10/PPy,,,,,,,Na2SO4,3,1,two-electrode system
DOI: 10.1007/s11581-021-04076-z,-0.2 to 0.8,-0.2,0.8,1,1,360,123.5,,,RGO/PEDOT1:1,,,1.15,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s11581-021-04076-z,-0.2 to 0.8,-0.2,0.8,1,0.5,400,147.6,,,RGO/PEDOT1:2,,0.046,1.17,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s11581-021-04076-z,-0.2 to 0.8,-0.2,0.8,1,1,347,147.6,,,RGO/PEDOT1:2,,0.046,1.17,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s11581-021-04076-z,-0.2 to 0.8,-0.2,0.8,1,20,234,147.6,,,RGO/PEDOT1:2,,0.046,1.17,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s11581-021-04076-z,-0.2 to 0.8,-0.2,0.8,1,1,370,140,,,RGO/PEDOT1:3,,,1.16,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s11665-020-05349-w,0 to 0.6,0,0.6,0.6,0.1,139,,,,PV14/GO,,,,,,,H2SO4,7,0.25,two-electrode system
DOI: 10.1007/s10008-015-2978-5,0 to 0.6,0,0.6,0.6,0.2,335,,,,rGOSP20,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10008-015-2978-5,0 to 0.6,0,0.6,0.6,0.4,318,,,,rGOSP20,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10008-015-2978-5,0 to 0.6,0,0.6,0.6,0.8,305,,,,rGOSP20,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10008-015-2978-5,0 to 0.6,0,0.6,0.6,2,256,,,,rGOSP20,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10008-015-2978-5,0 to 0.6,0,0.6,0.6,4,205,,,,rGOSP20,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s11581-021-04144-4,-0.2 to 1,-0.2,1,0.8,1,272,182,,,CRG,2.2,0.1,1,,,,H2SO4,7,0.5,three-electrode system
DOI: 10.1007/s11581-021-04144-4,-0.2 to 1,-0.2,1,0.8,1,464,219,,,HRG,3.7,0.2,1.22,,,,H2SO4,7,0.5,three-electrode system
DOI: 10.1007/s11581-021-04144-4,0 to 1,0,1,1,1,72,182,,,CRG,2.2,0.1,1,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11581-021-04144-4,0 to 1,0,1,1,0.5,78,182,,,CRG,2.2,0.1,1,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11581-021-04144-4,0 to 1,0,1,1,2,64,182,,,CRG,2.2,0.1,1,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11581-021-04144-4,0 to 1,0,1,1,4,62,182,,,CRG,2.2,0.1,1,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11581-021-04144-4,0 to 1,0,1,1,5,60,182,,,CRG,2.2,0.1,1,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11581-021-04144-4,0 to 1,0,1,1,7,56,182,,,CRG,2.2,0.1,1,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11581-021-04144-4,0 to 1,0,1,1,10,40,182,,,CRG,2.2,0.1,1,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11581-021-04144-4,0 to 1,0,1,1,1,124,219,,,HRG,3.7,0.2,1.22,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11581-021-04144-4,0 to 1,0,1,1,0.5,134,219,,,HRG,3.7,0.2,1.22,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11581-021-04144-4,0 to 1,0,1,1,2,120,219,,,HRG,3.7,0.2,1.22,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11581-021-04144-4,0 to 1,0,1,1,4,112,219,,,HRG,3.7,0.2,1.22,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11581-021-04144-4,0 to 1,0,1,1,5,100,219,,,HRG,3.7,0.2,1.22,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11581-021-04144-4,0 to 1,0,1,1,7,84,219,,,HRG,3.7,0.2,1.22,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11581-021-04144-4,0 to 1,0,1,1,10,80,219,,,HRG,3.7,0.2,1.22,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s10854-016-6267-6,-0.9 to -0.1,-0.9,-0.1,0.8,1,368.3,,,,CuS/RGO-4,,,1.03,,,,KOH,6,2,three-electrode system
DOI: 10.1007/s10854-018-8686-z,0 to 0.6,0,0.6,0.6,1,1839.4,367.8,,,ZnO/NiO/3DNG,,,,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s10854-018-8686-z,0 to 0.6,0,0.6,0.6,30,1593,367.8,,,ZnO/NiO/3DNG,,,,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11664-019-07188-5,0 to 1.6,0,1.6,1.6,0.5,120,1010,0.12,,P0-CCG,2.45,0.53,0.834,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11664-019-07188-5,0 to 1.6,0,1.6,1.6,0.5,192,1007,0.10,,P0.1-CCG,2.39,0.6,0.84,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11664-019-07188-5,0 to 1.6,0,1.6,1.6,0.5,277,1010,0.08,,P0.4-CCG,3.06,0.57,0.841,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s11664-019-07188-5,0 to 1.6,0,1.6,1.6,0.5,252,1010,0.14,,P0.8-CCG,2.38,0.56,0.838,,,,KOH,6,6,two-electrode system
DOI: 10.1007/s10854-020-04485-2,-1.0 to 0,-1,0,1,0.5,892,159.97,,0.35,Fe3O4@porous graphene/Ni foam,8.7,0.259,,0,30.75,52.48,Na2SO3,5,2,three-electrode system
DOI: 10.1007/s10854-020-04485-2,-1.0 to 0,-1,0,1,1,855,159.97,,0.35,Fe3O4@porous graphene/Ni foam,8.7,0.259,,0,30.75,52.48,Na2SO3,5,2,three-electrode system
DOI: 10.1007/s10854-020-04485-2,-1.0 to 0,-1,0,1,2,813,159.97,,0.35,Fe3O4@porous graphene/Ni foam,8.7,0.259,,0,30.75,52.48,Na2SO3,5,2,three-electrode system
DOI: 10.1007/s10854-020-04485-2,-1.0 to 0,-1,0,1,3,786,159.97,,0.35,Fe3O4@porous graphene/Ni foam,8.7,0.259,,0,30.75,52.48,Na2SO3,5,2,three-electrode system
DOI: 10.1007/s10854-020-04485-2,-1.0 to 0,-1,0,1,5,743,159.97,,0.35,Fe3O4@porous graphene/Ni foam,8.7,0.259,,0,30.75,52.48,Na2SO3,5,2,three-electrode system
DOI: 10.1007/s10854-020-04485-2,-1.0 to 0,-1,0,1,7,692,159.97,,0.35,Fe3O4@porous graphene/Ni foam,8.7,0.259,,0,30.75,52.48,Na2SO3,5,2,three-electrode system
DOI: 10.1007/s10854-020-04485-2,-1.0 to 0,-1,0,1,10,653,159.97,,0.35,Fe3O4@porous graphene/Ni foam,8.7,0.259,,0,30.75,52.48,Na2SO3,5,2,three-electrode system
DOI: 10.1007/s10853-017-0823-1,0 to 0.8,0,0.8,0.8,1,810,,,,GAp/PANI-9h,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10853-017-0823-1,0 to 0.8,0,0.8,0.8,1,335,,,,GA,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10853-017-0823-1,0 to 0.8,0,0.8,0.8,1,466,,,,GA/PANI-9h,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s11581-014-1231-z,-0.2 to 1,-0.2,1,0.8,1,243.8,,,,FGN,,,1.35,9.83,76.96,13.21,H2SO4,7,1,three-electrode system
DOI: 10.1007/s11581-014-1231-z,-0.2 to 1,-0.2,1,0.8,2,230.3,,,,FGN,,,1.35,9.83,76.96,13.21,H2SO4,7,1,three-electrode system
DOI: 10.1007/s11581-014-1231-z,-0.2 to 1,-0.2,1,0.8,3,185.3,,,,FGN,,,1.35,9.83,76.96,13.21,H2SO4,7,1,three-electrode system
DOI: 10.1007/s11581-014-1231-z,-0.2 to 1,-0.2,1,0.8,5,159.4,,,,functionalized nitrogen-doped graphene (FGN),,,1.35,9.83,76.96,13.21,H2SO4,7,1,three-electrode system
DOI: 10.1007/s40843-019-9436-1,0 to 0.8,0,0.8,0.8,1,203,,,, GF-SC,,,,,,,H2SO4,7,1,two-electrode system
DOI: 10.1007/s40843-019-9436-1,0 to 0.8,0,0.8,0.8,1,225,,,,NGF-SC,,,,,,,H2SO4,7,1,two-electrode system
DOI: 10.1007/s40843-019-9436-1,0 to 0.8,0,0.8,0.8,10,237,,,,PNGF10.34-SC,,,,,,,H2SO4,7,1,two-electrode system
